epoch,tb_new_bytes,tb_retx_bytes,num_new_tb
1785579235.123897,60819339,3487661,58356
1785579235.128891,60821771,3487661,58359
1785579235.133894,60824139,3487661,58362
1785579235.138891,60826731,3487661,58365
1785579235.143897,60829163,3487661,58368
1785579235.148891,60831611,3487661,58371
1785579235.153908,60833979,3487661,58374
1785579235.158891,60836555,3487661,58377
1785579235.163897,60839019,3487661,58380
1785579235.168891,60841467,3487661,58383
1785579235.173894,60843803,3487661,58386
1785579235.178892,60846395,3487661,58389
1785579235.183904,60848859,3487661,58392
1785579235.188892,60851291,3487661,58395
1785579235.193905,60853659,3487661,58398
1785579235.198891,60856251,3487661,58401
1785579235.203900,60858683,3487661,58404
1785579235.208892,60861131,3487661,58407
1785579235.213893,60863499,3487661,58410
1785579235.218892,60866075,3487661,58413
1785579235.223896,60868861,3487661,58416
1785579235.228891,60871309,3487661,58419
1785579235.233905,60873645,3487661,58422
1785579235.238892,60876237,3487661,58425
1785579235.243897,60878701,3487661,58428
1785579235.248891,60881133,3487661,58431
1785579235.253892,60883501,3487661,58434
1785579235.258890,60886093,3487661,58437
1785579235.263899,60888525,3487661,58440
1785579235.268891,60890973,3487661,58443
1785579235.273908,60893341,3487661,58446
1785579235.278891,60895917,3487661,58449
1785579235.283905,60898349,3487661,58452
1785579235.288890,60900797,3487661,58455
1785579235.293893,60903133,3487661,58458
1785579235.298891,60905725,3487661,58461
1785579235.303897,60908189,3487661,58464
1785579235.308891,60910621,3487661,58467
1785579235.313905,60912989,3487661,58470
1785579235.318890,60915581,3487661,58473
1785579235.323898,60918013,3487661,58476
1785579235.328891,60920461,3487661,58479
1785579235.333893,60922829,3487661,58482
1785579235.338891,60925405,3487661,58485
1785579235.343899,60928191,3487661,58488
1785579235.348891,60930639,3487661,58491
1785579235.353908,60932975,3487661,58494
1785579235.358899,60935567,3487661,58497
1785579235.363899,60937999,3487661,58500
1785579235.368891,60940447,3487661,58503
1785579235.373902,60942815,3487661,58506
1785579235.378892,60945391,3487661,58509
1785579235.383903,60947855,3487661,58512
1785579235.388899,60950303,3487661,58515
1785579235.393907,60952639,3487661,58518
1785579235.398891,60955231,3487661,58521
1785579235.403905,60957695,3487661,58524
1785579235.408890,60960127,3487661,58527
1785579235.413893,60962495,3487661,58530
1785579235.418898,60965087,3487661,58533
1785579235.423900,60967519,3487661,58536
1785579235.428891,60969967,3487661,58539
1785579235.433914,60972335,3487661,58542
